Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_89_541,VPWR,li1,257.1400,252.9600,1.799927
FILLER_89_529,VPWR,li1,251.6200,252.9600,1.799927
FILLER_89_517,VPWR,li1,246.1000,252.9600,1.799927
FILLER_89_505,VPWR,li1,240.5800,252.9600,1.799927
FILLER_89_492,VPWR,li1,234.6000,252.9600,1.799927
FILLER_89_480,VPWR,li1,229.0800,252.9600,1.799927
FILLER_89_468,VPWR,li1,223.5600,252.9600,1.799927
FILLER_89_456,VPWR,li1,218.0400,252.9600,1.799927
FILLER_89_439,VPWR,li1,208.1500,252.9600,1.799931
FILLER_89_432,VPWR,li1,205.1600,252.9600,1.799932
FILLER_89_405,VPWR,li1,192.7400,252.9600,1.799940
FILLER_89_393,VPWR,li1,189.0600,252.9600,1.799944
FILLER_89_391,VPWR,li1,185.6100,252.9600,1.799947
FILLER_89_370,VPWR,li1,175.9500,252.9600,1.799960
FILLER_89_361,VPWR,li1,172.0400,252.9600,1.799949
FILLER_89_344,VPWR,li1,163.9900,252.9600,1.799932
FILLER_89_329,VPWR,li1,157.3200,252.9600,1.799915
FILLER_89_324,VPWR,li1,155.0200,252.9600,1.799910
FILLER_89_315,VPWR,li1,150.8800,252.9600,1.799900
FILLER_89_296,VPWR,li1,141.9100,252.9600,1.799885
FILLER_89_288,VPWR,li1,139.8400,252.9600,1.799881
FILLER_89_261,VPWR,li1,127.4200,252.9600,1.799858
FILLER_89_249,VPWR,li1,122.8200,252.9600,1.799849
FILLER_89_237,VPWR,li1,117.3000,252.9600,1.799839
FILLER_89_225,VPWR,li1,111.7800,252.9600,1.799843
FILLER_89_223,VPWR,li1,108.3300,252.9600,1.799846
FILLER_89_217,VPWR,li1,106.7200,252.9600,1.799848
FILLER_89_205,VPWR,li1,102.5800,252.9600,1.799854
FILLER_89_193,VPWR,li1,97.0600,252.9600,1.799864
FILLER_89_181,VPWR,li1,91.5400,252.9600,1.799871
FILLER_89_169,VPWR,li1,86.0200,252.9600,1.799880
FILLER_89_167,VPWR,li1,82.5700,252.9600,1.799888
FILLER_89_161,VPWR,li1,80.9600,252.9600,1.799888
FILLER_89_149,VPWR,li1,76.8200,252.9600,1.799895
FILLER_89_137,VPWR,li1,71.3000,252.9600,1.799905
FILLER_89_125,VPWR,li1,65.7800,252.9600,1.799912
FILLER_89_113,VPWR,li1,60.2600,252.9600,1.799921
FILLER_89_111,VPWR,li1,56.8100,252.9600,1.799929
FILLER_89_105,VPWR,li1,55.2000,252.9600,1.799929
FILLER_89_93,VPWR,li1,51.0600,252.9600,1.799936
FILLER_89_81,VPWR,li1,45.5400,252.9600,1.799946
FILLER_89_69,VPWR,li1,40.0200,252.9600,1.799953
FILLER_89_57,VPWR,li1,34.5000,252.9600,1.799962
FILLER_89_55,VPWR,li1,31.0500,252.9600,1.799969
FILLER_89_51,VPWR,li1,29.9000,252.9600,1.799969
FILLER_89_39,VPWR,li1,26.2200,252.9600,1.799975
FILLER_89_27,VPWR,li1,20.7000,252.9600,1.799984
FILLER_89_15,VPWR,li1,15.1800,252.9600,1.799984
FILLER_89_3,VPWR,li1,9.6600,252.9600,1.799984
FILLER_88_553,VPWR,li1,260.1300,252.9600,1.799927
FILLER_88_545,VPWR,li1,258.0600,252.9600,1.799927
FILLER_88_533,VPWR,li1,253.4600,252.9600,1.799927
FILLER_88_531,VPWR,li1,250.0100,252.9600,1.799927
FILLER_88_525,VPWR,li1,248.4000,252.9600,1.799927
FILLER_88_513,VPWR,li1,244.2600,252.9600,1.799927
FILLER_88_501,VPWR,li1,238.7400,252.9600,1.799927
FILLER_88_489,VPWR,li1,233.2200,252.9600,1.799927
FILLER_88_477,VPWR,li1,227.7000,252.9600,1.799927
FILLER_88_475,VPWR,li1,224.2500,252.9600,1.799927
