Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_90_77,VGND,li1,42.3200,255.6800,0.000019
FILLER_90_65,VGND,li1,38.1800,255.6800,0.000016
FILLER_90_53,VGND,li1,32.6600,255.6800,0.000012
FILLER_90_41,VGND,li1,27.1400,255.6800,0.000008
FILLER_90_29,VGND,li1,21.6200,255.6800,0.000007
FILLER_90_27,VGND,li1,18.1700,255.6800,0.000007
FILLER_90_15,VGND,li1,15.1800,255.6800,0.000007
FILLER_90_3,VGND,li1,9.6600,255.6800,0.000007
FILLER_89_553,VGND,li1,260.1300,255.6800,0.000043
FILLER_89_541,VGND,li1,257.1400,255.6800,0.000043
FILLER_89_529,VGND,li1,251.6200,255.6800,0.000043
FILLER_89_517,VGND,li1,246.1000,255.6800,0.000043
FILLER_89_505,VGND,li1,240.5800,255.6800,0.000043
FILLER_89_492,VGND,li1,234.6000,255.6800,0.000043
FILLER_89_480,VGND,li1,229.0800,255.6800,0.000043
FILLER_89_468,VGND,li1,223.5600,255.6800,0.000043
FILLER_89_456,VGND,li1,218.0400,255.6800,0.000043
FILLER_89_439,VGND,li1,208.1500,255.6800,0.000042
FILLER_89_432,VGND,li1,205.1600,255.6800,0.000041
FILLER_89_405,VGND,li1,192.7400,255.6800,0.000036
FILLER_89_393,VGND,li1,189.0600,255.6800,0.000033
FILLER_89_391,VGND,li1,185.6100,255.6800,0.000032
FILLER_89_370,VGND,li1,175.9500,255.6800,0.000031
FILLER_89_361,VGND,li1,172.0400,255.6800,0.000040
FILLER_89_344,VGND,li1,163.9900,255.6800,0.000051
FILLER_89_329,VGND,li1,157.3200,255.6800,0.000060
FILLER_89_324,VGND,li1,155.0200,255.6800,0.000062
FILLER_89_315,VGND,li1,150.8800,255.6800,0.000066
FILLER_89_296,VGND,li1,141.9100,255.6800,0.000072
FILLER_89_288,VGND,li1,139.8400,255.6800,0.000073
FILLER_89_261,VGND,li1,127.4200,255.6800,0.000076
FILLER_89_249,VGND,li1,122.8200,255.6800,0.000074
FILLER_89_237,VGND,li1,117.3000,255.6800,0.000070
FILLER_89_225,VGND,li1,111.7800,255.6800,0.000066
FILLER_89_223,VGND,li1,108.3300,255.6800,0.000063
FILLER_89_217,VGND,li1,106.7200,255.6800,0.000063
FILLER_89_205,VGND,li1,102.5800,255.6800,0.000060
FILLER_89_193,VGND,li1,97.0600,255.6800,0.000055
FILLER_89_181,VGND,li1,91.5400,255.6800,0.000052
FILLER_89_169,VGND,li1,86.0200,255.6800,0.000049
FILLER_89_167,VGND,li1,82.5700,255.6800,0.000045
FILLER_89_161,VGND,li1,80.9600,255.6800,0.000045
FILLER_89_149,VGND,li1,76.8200,255.6800,0.000042
FILLER_89_137,VGND,li1,71.3000,255.6800,0.000038
FILLER_89_125,VGND,li1,65.7800,255.6800,0.000035
FILLER_89_113,VGND,li1,60.2600,255.6800,0.000031
FILLER_89_111,VGND,li1,56.8100,255.6800,0.000028
FILLER_89_105,VGND,li1,55.2000,255.6800,0.000028
FILLER_89_93,VGND,li1,51.0600,255.6800,0.000025
FILLER_89_81,VGND,li1,45.5400,255.6800,0.000020
FILLER_89_69,VGND,li1,40.0200,255.6800,0.000017
FILLER_89_57,VGND,li1,34.5000,255.6800,0.000013
FILLER_89_55,VGND,li1,31.0500,255.6800,0.000010
FILLER_89_51,VGND,li1,29.9000,255.6800,0.000010
FILLER_89_39,VGND,li1,26.2200,255.6800,0.000007
FILLER_89_27,VGND,li1,20.7000,255.6800,0.000007
FILLER_89_15,VGND,li1,15.1800,255.6800,0.000007
FILLER_89_3,VGND,li1,9.6600,255.6800,0.000007
FILLER_88_553,VGND,li1,260.1300,250.2400,0.000103
FILLER_88_545,VGND,li1,258.0600,250.2400,0.000103
FILLER_88_533,VGND,li1,253.4600,250.2400,0.000103
FILLER_88_531,VGND,li1,250.0100,250.2400,0.000103
FILLER_88_525,VGND,li1,248.4000,250.2400,0.000103
FILLER_88_513,VGND,li1,244.2600,250.2400,0.000103
FILLER_88_501,VGND,li1,238.7400,250.2400,0.000103
FILLER_88_489,VGND,li1,233.2200,250.2400,0.000103
FILLER_88_477,VGND,li1,227.7000,250.2400,0.000103
FILLER_88_475,VGND,li1,224.2500,250.2400,0.000103
FILLER_88_463,VGND,li1,221.2600,250.2400,0.000103
FILLER_88_457,VGND,li1,216.4300,250.2400,0.000100
FILLER_88_449,VGND,li1,213.9000,250.2400,0.000096
FILLER_88_437,VGND,li1,209.3000,250.2400,0.000090
FILLER_88_425,VGND,li1,203.7800,250.2400,0.000083
FILLER_88_419,VGND,li1,198.4900,250.2400,0.000077
FILLER_88_400,VGND,li1,190.2100,250.2400,0.000065
FILLER_88_365,VGND,li1,174.8000,250.2400,0.000057
FILLER_88_362,VGND,li1,172.5000,250.2400,0.000063
FILLER_88_354,VGND,li1,170.2000,250.2400,0.000069
FILLER_88_337,VGND,li1,161.0000,250.2400,0.000097
FILLER_88_316,VGND,li1,151.8000,250.2400,0.000114
FILLER_88_306,VGND,li1,146.7400,250.2400,0.000125
FILLER_88_296,VGND,li1,142.1400,250.2400,0.000134
FILLER_88_288,VGND,li1,139.8400,250.2400,0.000139
FILLER_88_253,VGND,li1,124.6600,250.2400,0.000167
FILLER_88_251,VGND,li1,121.2100,250.2400,0.000173
FILLER_88_245,VGND,li1,119.6000,250.2400,0.000176
FILLER_88_232,VGND,li1,112.7000,250.2400,0.000181
FILLER_88_197,VGND,li1,98.9000,250.2400,0.000160
FILLER_88_195,VGND,li1,95.4500,250.2400,0.000151
FILLER_88_189,VGND,li1,93.8400,250.2400,0.000151
FILLER_88_177,VGND,li1,89.7000,250.2400,0.000143
FILLER_88_165,VGND,li1,84.1800,250.2400,0.000130
FILLER_88_153,VGND,li1,78.6600,250.2400,0.000121
FILLER_88_141,VGND,li1,73.1400,250.2400,0.000111
